time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:40:40:5590,0.1431,-0.4690,0.4253,0.649
19:40:40:5629,0.2252,-0.4763,0.0216,0.527
19:40:40:5689,0.2252,-0.4763,0.0216,0.527
19:40:40:5729,0.2252,-0.4763,0.0216,0.527
19:40:40:5790,0.2252,-0.4763,0.0216,0.527
19:40:40:5840,-0.1557,-0.2097,0.5976,0.652
19:40:40:5880,-0.1557,-0.2097,0.5976,0.652
19:40:40:5930,-0.1557,-0.2097,0.5976,0.652
19:40:40:5980,-0.1557,-0.2097,0.5976,0.652
19:40:40:6030,-0.0054,-0.0629,0.2455,0.253
19:40:40:6090,-0.0054,-0.0629,0.2455,0.253
19:40:40:6130,-0.0054,-0.0629,0.2455,0.253
19:40:40:6180,-0.0054,-0.0629,0.2455,0.253
19:40:40:6230,-0.0728,0.0886,0.0400,0.121
19:40:40:6280,-0.0728,0.0886,0.0400,0.121
19:40:40:6330,-0.0728,0.0886,0.0400,0.121
19:40:40:6380,-0.0728,0.0886,0.0400,0.121
19:40:40:6550,-0.0312,-0.3670,0.6479,0.745
19:40:40:6560,-0.0312,-0.3670,0.6479,0.745
19:40:40:6560,-0.0312,-0.3670,0.6479,0.745
19:40:40:6570,-0.0312,-0.3670,0.6479,0.745
19:40:40:6620,-0.0578,-0.0955,-0.1507,0.188
19:40:40:6670,-0.0578,-0.0955,-0.1507,0.188
19:40:40:6720,-0.0578,-0.0955,-0.1507,0.188
19:40:40:6770,-0.0578,-0.0955,-0.1507,0.188
19:40:40:6820,-0.0299,-0.1592,0.1776,0.240
19:40:40:6870,-0.0299,-0.1592,0.1776,0.240
19:40:40:6909,-0.0299,-0.1592,0.1776,0.240
19:40:40:6969,-0.0299,-0.1592,0.1776,0.240
19:40:40:7020,0.0387,0.0087,-0.1616,0.166
19:40:40:7090,0.0387,0.0087,-0.1616,0.166
19:40:40:7120,0.0387,0.0087,-0.1616,0.166
19:40:40:7170,0.0387,0.0087,-0.1616,0.166
19:40:40:7210,-0.0289,-0.0971,-0.0641,0.120
19:40:40:7270,-0.0289,-0.0971,-0.0641,0.120
19:40:40:7340,-0.0289,-0.0971,-0.0641,0.120
19:40:40:7360,-0.0289,-0.0971,-0.0641,0.120
19:40:40:7420,-0.0419,0.0140,0.0614,0.076
19:40:40:7460,-0.0419,0.0140,0.0614,0.076
19:40:40:7510,-0.0419,0.0140,0.0614,0.076
19:40:40:7560,-0.0419,0.0140,0.0614,0.076
19:40:40:7610,-0.1095,-0.1493,0.1064,0.214
